model,dataset,sample_id,reducer,question,right_answer,generated_answer,latency_s,token_score,token_pred,semantic_score,semantic_pred,llm_score,llm_pred,bert_score,bert_pred
llama3:latest,synthetic,synthetic_0003,baseline,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"Einstein received the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect, which was a fundamental contribution to the development of quantum theory.",1.199,0.4529049860327679,False,0.07503759860992432,False,0.05,False,0.25672712326049807,True
llama3:latest,synthetic,synthetic_0003,rag,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"According to the passage, Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect, not for relativity.",1.258,0.19218204898141752,False,0.08238840103149414,False,0.0,False,0.21320617198944092,False
llama3:latest,synthetic,synthetic_0003,constrained_decoding,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"Einstein received the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect, which was a key contribution to the development of quantum theory.",1.187,0.4529049860327679,False,0.07824373245239258,False,0.05,False,0.27125782966613765,True
llama3:latest,synthetic,synthetic_0003,self_verification,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"Einstein received the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect, which was a key contribution to the development of quantum theory.",3.666,0.4529049860327679,False,0.07824373245239258,False,0.05,False,0.24123998880386355,False
llama3:latest,synthetic,synthetic_0001,baseline,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.",The first unified Great Wall of China was built during the Qin Dynasty (221-206 BCE) by Emperor Qin Shi Huang.,1.028,0.48665934956352697,False,0.04669904708862305,False,0.05,False,0.6071075201034546,True
llama3:latest,synthetic,synthetic_0001,rag,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","According to the reference passage, Qin Shi Huang (221-206 BC), the first emperor of China, was responsible for joining together selective stretches of earlier walls, creating the first unified Great Wall of China.",1.548,0.7033682548753646,True,0.09969282150268555,False,0.0,False,0.6331887781620026,True
llama3:latest,synthetic,synthetic_0001,constrained_decoding,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","The First Emperor of China, Qin Shi Huang (221-210 BCE), is credited with building the first unified Great Wall of China. He ordered the construction of a long wall to protect his empire from invasions by nomadic tribes and to keep out rival states. The wall was built using local materials such as rammed earth, stones, and wood, and it stretched for over 3,000 miles (4,800 km).",2.692,0.8286765301884872,True,0.09206795692443848,False,0.0,False,0.776824751496315,True
llama3:latest,synthetic,synthetic_0001,self_verification,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","The First Emperor of China, Qin Shi Huang (221-206 BCE), is credited with building the first unified Great Wall of China. He ordered the construction of a long wall to protect his empire from invasions by nomadic tribes and to consolidate his power. The wall was initially built to connect existing fortifications and watchtowers, and it was extended and fortified over time by subsequent Chinese dynasties.",5.167,0.8072873480430959,True,0.07646960020065308,False,0.0,False,0.7664853274822235,True
llama3:latest,synthetic,synthetic_0002,baseline,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,The main pigment involved in photosynthesis is Chlorophyll a.,0.622,0.6787878710568854,True,0.1249883770942688,False,0.05,False,0.46839387416839595,True
llama3:latest,synthetic,synthetic_0002,rag,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,"According to the passage, chlorophyll is the main pigment involved in photosynthesis, as it absorbs light energy.",1.013,0.6916205642647055,True,0.058037519454956055,False,0.05,False,0.520259541273117,True
llama3:latest,synthetic,synthetic_0002,constrained_decoding,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,The main pigment involved in photosynthesis is chlorophyll a.,0.875,0.6787878710568854,True,0.1249883770942688,False,0.05,False,0.5379156470298767,True
