model,dataset,sample_id,reducer,question,right_answer,generated_answer,latency_s,token_score,token_pred,semantic_score,semantic_pred,llm_score,llm_pred,bert_score,bert_pred
llama3:latest,synthetic,synthetic_0003,baseline,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"Einstein received the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect, which was a key contribution to the development of quantum theory.",4.451,0.4529049860327679,False,0.07824373245239258,False,0.05,False,0.2545833945274353,True
llama3:latest,synthetic,synthetic_0003,rag,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"According to the passage, Albert Einstein received the Nobel Prize in Physics in 1921 ""for his discovery of the law of the photoelectric effect"", not for relativity.",1.22,0.23976910236803714,False,0.08590114116668701,False,0.0,False,0.24758567810058596,False
llama3:latest,synthetic,synthetic_0003,constrained_decoding,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"Einstein received the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect, which was a key contribution to the development of quantum theory.",1.054,0.4529049860327679,False,0.07824373245239258,False,0.05,False,0.25957270860672,True
llama3:latest,synthetic,synthetic_0003,self_verification,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"Einstein received the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect, which was a key contribution to the development of quantum theory.",2.78,0.4529049860327679,False,0.07824373245239258,False,0.05,False,0.2729161143302917,True
llama3:latest,synthetic,synthetic_0001,baseline,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","The First Emperor of China, Qin Shi Huang (221-206 BCE), is credited with building the first unified Great Wall of China. He connected existing walls and fortifications to create a long wall that stretched over 3,000 miles (4,800 km) to protect his empire from invaders.",1.714,0.7862138666086708,True,0.07101011276245117,False,0.0,False,0.7313395440578461,True
llama3:latest,synthetic,synthetic_0001,rag,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","According to the reference passage, Qin Shi Huang (221-206 BC), the first emperor of China, was responsible for joining together selective stretches of walls previously built from as early as the 7th century BC, creating the first unified Great Wall of China.",1.587,0.7518097906320498,True,0.10393339395523071,False,0.0,False,0.6315328240394592,True
llama3:latest,synthetic,synthetic_0001,constrained_decoding,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","The First Emperor of China, Qin Shi Huang (221-210 BCE), is credited with building the first unified Great Wall of China. He ordered the construction of a long wall to protect his empire from invasions by nomadic tribes and to keep out rival states. The wall was built using local materials such as rammed earth, stones, and wood, and it stretched for over 3,000 miles (4,800 km).",2.389,0.8286765301884872,True,0.09206795692443848,False,0.0,False,0.796107217669487,True
llama3:latest,synthetic,synthetic_0001,self_verification,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","The First Emperor of China, Qin Shi Huang (259-210 BCE), is credited with building the first unified Great Wall of China. He ordered the construction of a long wall to protect his empire from invasions by nomadic tribes and to serve as a symbol of his power. The wall was built during his reign, which lasted from 221 to 210 BCE.",4.357,0.7890780684333616,True,0.07500326633453369,False,0.0,False,0.6675243854522706,True
llama3:latest,synthetic,synthetic_0002,baseline,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,"The main pigment involved in photosynthesis is chlorophyll. Chlorophyll absorbs light energy from the sun, which is used to power the conversion of carbon dioxide and water into glucose and oxygen.",1.432,0.8425914915378193,True,0.10694694519042969,False,0.05,False,0.695891261100769,True
llama3:latest,synthetic,synthetic_0002,rag,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,The main pigment involved in photosynthesis is chlorophyll.,0.692,0.6787878710568854,True,0.11350393295288086,False,0.05,False,0.45907208919525144,True
